country,account_ownership_pct,account_ownership_female_pct,bank_branches_per_100k,gdp_per_capita_usd,gini_index,labor_force_participation_pct
Late-demographic dividend,,,14.2569575841349,12874.1679137972,,64.0651594267479
Latin America & Caribbean,73.55,70.14,10.4277238314631,10737.6463538652,,62.714055377767
Latin America & Caribbean (excluding high income),69.7191455453149,65.8592671155635,11.510125871002,10382.3911125152,,63.3673857345327
Latin America & the Caribbean (IDA & IBRD countries),,,10.4277238314631,10474.2809944408,,63.0121795915564
Latvia,94.9733099977296,95.4063945490497,4.6502683958962,23409.0845154775,34.0,60.519
Least developed countries: UN classification,,,3.3334139266028,1293.40100322932,,63.5422706163135
Lebanon,23.0438575680739,15.3395918766117,19.0288164589761,3477.72489842684,35.5,43.424
Lesotho,61.5710444951092,60.4259618948848,3.50232937332302,971.90771824829,44.9,57.117
Liberia,52.2139331485699,46.2794636646139,3.04553255751211,851.497723870206,35.3,76.582
Libya,33.1190908215163,24.6960239810713,12.2826533315264,6569.16408678648,,47.963
Liechtenstein,,,,206780.590353385,,
Lithuania,98.9947155941499,98.4001545389899,10.2514866714205,29384.0189598663,36.0,62.918
Low & middle income,75.4463783026968,72.9736032719058,9.48436916344551,6002.45120765259,,60.8817969274771
Low income,46.4432333139003,40.6036505836452,3.04384950573908,751.322764042233,,63.2377860659923
Lower middle income,70.3871703678925,67.5857063482155,9.24660673813368,2544.49245457752,,58.7638110596144
Luxembourg,98.7678546822929,98.1774858001159,48.4297582237455,137781.681659123,33.6,61.502
"Macao SAR, China",,,44.2737353165739,72004.7437020733,,67.848
Madagascar,24.4501397197571,20.2965184252509,2.88211368009669,544.987501003384,36.8,85.495
Malawi,50.3696725002439,46.2797708427249,1.92929080891834,522.570393642547,38.5,62.577
Malaysia,88.6918012421116,88.2264701684302,8.06617948996349,11874.4273684245,40.7,66.12
Maldives,79.546409464789,74.1815888482305,14.9469505770503,13379.3513577224,29.3,63.501
Mali,54.7454806007539,45.6045965708999,4.10663919520599,1094.61949265799,35.7,67.036
Malta,96.5581295334766,96.0512328002859,21.6587702400167,43898.5781808597,31.8,63.98
Marshall Islands,,,27.9955207166853,7726.33668877794,35.5,
Mauritania,27.3142609920985,24.6801310105525,11.3536148427181,2110.12036938187,32.0,40.772
Mauritius,89.5984480347546,87.44277026075,14.2569575841349,11990.7798944837,36.8,58.548
Mexico,53.0320833316729,47.4017009910959,12.1791511640854,14185.7812248529,42.6,61.609
"Micronesia, Fed. Sts.",,,12.3846677812868,4166.00476748564,40.1,
"Middle East, North Africa, Afghanistan & Pakistan",52.84,45.55,11.5398438083495,6265.44445247452,,47.3509875421805
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",,,10.2591725584415,2973.77496155262,,44.8569937879204
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",52.9089186737193,45.6286015667673,10.8332490960739,2971.05462651558,,44.8569937879204
Middle income,72.37,69.57,10.8371748369963,6554.37054933497,,60.704098207106
Moldova,55.544249263449,54.547891632053,28.216325827029,7576.19589413326,26.8,72.29
Monaco,,,,288001.433369041,,
Mongolia,98.2787007982729,98.9739436798409,59.8187794999287,6750.6301157724,31.4,59.689
Montenegro,75.4116297013886,73.3747524585654,35.5938035142949,13263.3281277699,34.3,57.966
Morocco,44.3863291468524,34.6828902547469,20.9183908505432,4153.1943359375,39.5,43.941
Mozambique,54.38528750107,45.4883633087181,3.48023641885857,656.776824637306,49.6,78.709
Myanmar,47.7910290706127,46.1505017519645,5.6094084014702,1359.05001560107,30.7,55.088
Namibia,72.9187672893525,75.0382248106692,9.3480327584395,4413.12752211572,59.1,58.838
Nauru,,,,13609.158837552,32.4,
Nepal,59.9911157064883,59.7778342772083,22.869347089426,1447.31004458428,30.0,39.244
Netherlands,99.171512250031,99.2546198217458,4.58486401617043,67520.4218956281,25.7,67.248
New Caledonia,,,,29213.1923192946,,56.421
New Zealand,97.8647563722742,98.5351611403082,16.0476457657241,49205.1792146792,,70.352
Nicaragua,23.470592686629,21.2320804665929,7.71370890792764,2847.53966339498,46.2,66.074
Niger,14.8268991865027,12.2030464030006,1.58877765041864,735.270255787226,32.9,79.741
Nigeria,63.2613514491542,52.2155914465012,4.36487210382441,1084.16041805436,33.9,82.517
North America,95.45,97.08,22.8270671808674,81275.8436781762,,62.016267969456
North Macedonia,84.2548648905347,77.229493719316,24.6799159307545,9291.85661671864,33.5,51.935
Northern Mariana Islands,,,,23785.754590043,,
Norway,98.5561571037813,97.8239340560655,5.50865388781891,86785.4334489176,26.5,65.606
Not classified,,,,,,
OECD members,97.19,97.68,15.5467851173252,48322.1644204871,,60.5969657104113
